DAC,Laser Power
1011,0.00270577
1012,0.00270978
1013,0.00270978
1014,0.0027178
1015,0.00271379
1016,0.00272982
1017,0.00272381
1018,0.00272982
1019,0.00273183
1020,0.00273583
1021,0.00273784
1022,0.00273583
1023,0.00275387
1024,0.00274586
1025,0.00275187
1026,0.00275788
1027,0.00276189
1028,0.00274986
1029,0.00276389
1030,0.0027659
1031,0.00277392
1032,0.00277592
1033,0.00277592
1034,0.00277392
1035,0.00278394
1036,0.00277993
1037,0.00278795
1038,0.00279195
1039,0.00278995
1040,0.00279396
1041,0.00279596
1042,0.00280398
1043,0.002812
1044,0.00280999
1045,0.002814
1046,0.002814
1047,0.002816
1048,0.00282402
1049,0.00282603
1050,0.00281801
1051,0.00282803
1052,0.00283404
1053,0.00283404
1054,0.00283404
1055,0.00284006
1056,0.00285008
1057,0.00284407
1058,0.00285409
1059,0.0028621
1060,0.00285008
1061,0.0028601
1062,0.00287012
1063,0.0028621
1064,0.00287012
1065,0.00287213
1066,0.00287613
1067,0.00288215
1068,0.00288415
1069,0.00288215
1070,0.00289016
1071,0.00288615
1072,0.00289217
1073,0.00289818
1074,0.00290219
1075,0.00290219
1076,0.00289818
1077,0.00291221
1078,0.0029062
1079,0.00291622
1080,0.00291622
1081,0.00293025
1082,0.00292824
1083,0.00292824
1084,0.00293225
1085,0.00293426
1086,0.00294027
1087,0.00293626
1088,0.00294829
1089,0.00294628
1090,0.00294829
1091,0.00295831
1092,0.0029543
1093,0.00295831
1094,0.00296432
1095,0.0029563
1096,0.00296633
1097,0.00296232
1098,0.00297434
1099,0.00298236
1100,0.00297835
1101,0.00298436
1102,0.00299439
1103,0.00298637
1104,0.00299439
1105,0.00299238
1106,0.00299839
1107,0.00300641
1108,0.00300641
1109,0.00301042
1110,0.00302044
1111,0.00301242
1112,0.00301443
1113,0.00302044
1114,0.00302445
1115,0.00302846
1116,0.00303648
1117,0.00303046
1118,0.00304048
1119,0.00304249
1120,0.00304449
1121,0.00304249
1122,0.00305051
1123,0.00305051
1124,0.00305451
1125,0.00305852
1126,0.00306253
1127,0.00305852
1128,0.00307055
1129,0.00306854
1130,0.00306654
1131,0.00308057
1132,0.00308658
1133,0.00308057
1134,0.00308057
1135,0.00308859
1136,0.0030966
1137,0.0030926
1138,0.0030946
1139,0.00310262
1140,0.00310262
1141,0.00310262
1142,0.00310863
1143,0.00311063
1144,0.00311063
